procedure_id,price,sales_tax,cost,short_desc,long_desc
CH0726,283.75,,143.5,Para Kit,Cell Core
CH0728,59.95,,29.5,Para 4,Cell Core
CH0729,173,,,Para Kit - Employee,Cell Core
CH0767,60,7.35,30,Drainage Activator,CellCore
CH0006,23,7.35,11.5,Adrenal Complex - 40T,MEDIHERB SP
CH0644,52,7.35,26,Kava Forte 40t ,MEDIHERB SP
CH0666,86.5,7.35,43.25,Thyroid Complex - 120c,MEDIHERB SP
CH0667,40,7.35,20,Bone Complex,MEDIHERB SP
CH0681,33.9,7.35,16.95,Z-Binder 60 ct,Ortho Molecular
CH0682,118.9,7.35,59.45,Core Restore Chocolate 7-day,Ortho Molecular
CH0683,39.9,7.35,19.95,Cerenity PM 60 ct,Ortho Molecular
CH0684,68.7,7.35,34.35,Collagen 30 servings ,Ortho Molecular
CH0685,45.6,7.35,22.8,K-Force 60 ct,Ortho Molecular
CH0686,37.9,7.35,18.95,Mitocore 60 ct,Ortho Molecular
CH0687,24.5,7.35,12.25,Natural D-Hist 40 ct,Ortho Molecular
CH0688,58.3,7.35,29.15,Nuadapt 60 ct,Ortho Molecular
CH0689,70.9,7.35,35.45,Ortho Biotic 100  30ct,Ortho Molecular
CH0690,19.2,7.35,9.6,Reacted Magnesium 60ct,Ortho Molecular
CH0691,42.5,7.35,21.25,Soft Tissue Support Pack 9ct,Ortho Molecular
CH0692,40.8,7.35,20.4,Truadapt 60ct,Ortho Molecular
CH0694,52.4,7.35,26.2,Turiva 60ct,Ortho Molecular
CH0695,59.5,7.35,29.75,Vascuzyme 120ct,Ortho Molecular
CH0696,79.9,7.35,39.95,SBI Protect Capsules 120ct,Ortho Molecular
CH0697,37.9,7.35,18.95,Ortho Biotic Capsules 30ct,Ortho Molecular
CH0698,48.9,7.35,24.45,GlutaShield Chocolate 30 serv,Ortho Molecular
CH0699,48.9,7.35,24.45,GlutaShield Vanilla 30 serv,Ortho Molecular
CH0700,53.6,7.35,26.8,BioPC Pro 30 serv,Ortho Molecular
CH0701,57.5,7.35,28.75,Chondro-Flx 90ct,Ortho Molecular
